name,career,last10,lwin,wins,places,tj,jh,twelveMonth,season,track,distance,trackDistance,firm,good,soft,heavy,wet,hclass,roi,is_winner
13. French Quarter,0.00,0.14,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-1.00,0.00
4. True Moon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1. Baramagic,0.34,0.22,0.01,0.13,0.34,0.15,0.50,0.00,0.25,0.33,0.40,0.40,0.00,0.42,0.00,0.00,0.00,1.00,0.51,1.00
2. Wee Ripper,0.39,0.25,0.02,0.13,0.39,0.00,0.00,0.33,0.44,0.36,0.44,0.29,0.00,0.34,0.67,0.00,0.67,0.00,0.00,1.00
3. Acermetric,0.39,0.21,0.02,0.12,0.39,0.00,0.00,0.50,0.43,0.19,0.25,0.25,0.00,0.38,0.50,0.00,0.50,0.00,-0.30,1.00
4. Rockon Tommy,0.26,0.13,0.05,0.17,0.26,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.24,0.33,0.00,0.33,0.00,-0.32,0.00
5. Street Fair,0.32,0.17,0.03,0.14,0.32,0.14,0.25,0.17,0.14,0.30,0.40,0.50,0.00,0.22,0.50,0.50,0.50,0.50,0.63,0.00
6. Alaskan God,0.67,0.33,0.03,0.67,0.67,0.22,1.00,1.00,0.67,1.00,1.00,1.00,0.00,0.67,0.00,0.00,0.00,0.00,1.30,1.00
7. Prized Miss,0.50,0.29,0.02,0.25,0.50,0.17,0.50,0.40,0.40,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.00,-0.41,0.00
8. American Troop,0.43,0.29,0.03,0.14,0.43,0.10,0.33,0.50,0.40,0.00,0.00,0.00,0.00,0.50,0.00,0.50,0.33,0.00,-0.69,0.00
9. Beaucount,0.28,0.17,0.10,0.10,0.28,0.00,0.00,0.00,0.00,0.21,0.36,0.36,0.00,0.28,0.25,0.00,0.25,0.13,-0.37,0.00
10. Peppijack,0.31,0.16,0.01,0.11,0.31,0.08,0.50,0.33,0.27,0.27,1.00,1.00,0.00,0.23,0.44,0.67,0.48,0.71,-0.31,0.00
11. Diplomat Express,0.26,0.22,0.08,0.06,0.26,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.25,0.28,0.00,0.27,0.40,-0.47,0.00
12. In The Bag,0.44,0.24,0.01,0.12,0.44,0.00,0.00,0.00,0.50,0.00,0.67,0.00,0.00,0.46,0.25,0.00,0.25,0.00,0.13,0.00
13. Trade Prize,0.25,0.23,0.02,0.09,0.25,0.06,0.57,0.17,0.27,0.07,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.33,0.52,0.00
1. Critical Altitude,0.67,0.36,0.03,0.11,0.67,0.07,0.67,1.00,1.00,0.60,0.67,0.67,0.00,0.75,0.00,0.00,0.00,1.00,-0.51,1.00
2. Double Demerits,0.40,0.20,0.01,0.20,0.40,0.00,1.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.00,0.00,0.50,0.00,-0.50,0.00
3. Gorgeous Gus,0.50,0.24,0.01,0.13,0.50,0.00,0.00,1.00,0.50,0.00,0.50,0.00,0.00,0.50,0.50,0.00,0.50,0.50,1.25,0.00
5. Oceanic Rider,0.75,0.40,0.01,0.25,0.75,0.17,0.75,1.00,1.00,0.00,1.00,0.00,0.00,0.75,0.00,0.00,0.00,1.00,-0.55,1.00
6. Giancana,0.17,0.17,0.10,0.17,0.17,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,-0.58,0.00
7. Aunty Jean,0.43,0.26,0.02,0.14,0.43,0.00,1.00,1.00,0.43,1.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,1.00,-0.37,0.00
9. Elite Time,0.40,0.24,0.01,0.20,0.40,0.00,0.00,0.00,0.50,0.00,0.50,0.00,0.00,0.33,0.00,1.00,0.50,0.00,-0.26,0.00
10. Dream Evil,0.50,0.23,0.01,0.13,0.50,0.13,0.50,0.00,0.50,0.00,0.67,0.00,0.00,0.25,0.50,1.00,0.75,0.33,-0.38,1.00
11. Western Rhythm,0.35,0.18,0.08,0.06,0.35,0.15,0.00,0.25,0.25,0.25,0.60,0.33,0.00,0.36,0.33,0.00,0.33,0.00,-0.82,1.00
8. Belgrano Belle,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4. Marzipan Lad,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12. Wunderkind,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2. O'lara's Prince,0.33,0.22,0.02,0.17,0.33,0.11,0.00,0.40,0.40,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,-0.08,0.00
